iter	Passed	Remaining
437	1350	1733
438	1353	1729
439	1356	1725
440	1358	1721
441	1360	1717
442	1363	1714
443	1366	1710
444	1368	1706
445	1371	1703
446	1373	1699
447	1376	1696
448	1380	1694
449	1384	1691
450	1386	1688
451	1389	1684
452	1392	1681
453	1396	1679
454	1398	1675
455	1401	1671
456	1403	1667
457	1405	1662
458	1407	1659
459	1411	1657
460	1414	1653
461	1416	1649
462	1418	1645
463	1420	1641
464	1423	1637
465	1427	1635
466	1429	1631
467	1431	1627
468	1433	1623
469	1435	1619
470	1438	1615
471	1442	1613
472	1444	1609
473	1447	1605
474	1449	1601
475	1451	1597
476	1453	1593
477	1457	1591
478	1460	1588
479	1462	1584
480	1464	1580
481	1466	1575
482	1468	1572
483	1471	1568
484	1474	1565
485	1476	1561
486	1478	1557
487	1480	1552
488	1482	1548
489	1484	1545
490	1487	1542
491	1489	1538
492	1492	1534
493	1494	1530
494	1496	1526
495	1498	1522
496	1501	1519
497	1503	1515
498	1505	1512
499	1508	1508
500	1510	1504
501	1512	1500
502	1514	1496
503	1516	1492
504	1519	1489
505	1522	1486
506	1524	1482
507	1526	1478
508	1528	1474
509	1530	1470
510	1532	1466
511	1536	1464
512	1538	1460
513	1541	1457
514	1543	1453
515	1545	1449
516	1548	1446
517	1552	1444
518	1554	1440
519	1556	1436
520	1558	1433
521	1561	1429
522	1563	1425
523	1566	1423
524	1569	1419
525	1572	1416
526	1574	1413
527	1576	1409
528	1580	1407
529	1584	1404
530	1586	1401
531	1588	1397
532	1590	1393
533	1592	1389
534	1595	1386
535	1597	1383
536	1600	1379
537	1602	1376
538	1604	1372
539	1606	1368
540	1609	1365
541	1612	1362
542	1614	1358
543	1616	1355
544	1618	1351
545	1621	1348
546	1623	1344
547	1625	1340
548	1628	1337
549	1630	1333
550	1632	1330
551	1634	1326
552	1636	1322
553	1638	1319
554	1640	1315
555	1643	1312
556	1645	1308
557	1647	1305
558	1650	1301
559	1652	1298
560	1654	1294
561	1656	1291
562	1659	1288
563	1661	1284
564	1664	1281
565	1666	1277
566	1668	1274
567	1671	1271
568	1673	1267
569	1677	1265
570	1679	1262
571	1682	1258
572	1685	1255
573	1687	1252
574	1691	1249
575	1693	1246
576	1696	1243
577	1699	1240
578	1701	1237
579	1704	1234
580	1707	1231
581	1709	1227
582	1712	1224
583	1714	1221
584	1717	1218
585	1719	1215
586	1723	1212
587	1725	1209
588	1727	1205
589	1730	1202
590	1732	1199
591	1734	1195
592	1737	1192
593	1741	1190
594	1743	1186
595	1746	1183
596	1748	1180
597	1750	1177
598	1754	1174
599	1757	1171
600	1759	1168
601	1762	1165
602	1765	1162
603	1767	1158
604	1771	1156
605	1774	1153
606	1777	1150
607	1779	1147
608	1782	1144
609	1785	1141
610	1788	1138
611	1791	1135
612	1793	1132
613	1796	1129
614	1798	1126
615	1802	1123
616	1805	1120
617	1808	1117
618	1810	1114
619	1812	1111
620	1816	1108
621	1819	1105
622	1822	1102
623	1824	1099
624	1826	1096
625	1829	1092
626	1832	1090
627	1835	1087
628	1838	1084
629	1841	1081
630	1843	1078
631	1846	1074
632	1850	1072
633	1852	1069
634	1855	1066
635	1857	1063
636	1859	1059
637	1862	1056
638	1866	1054
639	1868	1051
640	1871	1047
641	1873	1044
642	1875	1041
643	1878	1038
644	1882	1035
645	1884	1032
646	1886	1029
647	1888	1025
648	1890	1022
649	1893	1019
650	1896	1016
651	1898	1013
652	1900	1010
653	1902	1006
654	1904	1003
655	1907	1000
656	1910	997
657	1913	994
658	1915	991
659	1918	988
660	1920	984
661	1922	981
662	1925	978
663	1928	975
664	1931	972
665	1933	969
666	1936	966
667	1938	963
668	1942	960
669	1945	957
670	1947	954
671	1949	951
672	1951	948
673	1954	945
674	1958	942
675	1961	939
676	1963	936
677	1966	933
678	1968	930
679	1970	927
680	1973	924
681	1977	921
682	1979	918
683	1982	915
684	1984	912
685	1986	909
686	1990	907
687	1993	904
688	1995	900
689	1997	897
690	1999	894
691	2002	891
692	2006	888
693	2008	885
694	2010	882
695	2013	879
696	2015	876
697	2017	873
698	2022	870
699	2025	867
700	2027	864
701	2030	861
702	2032	858
703	2036	856
704	2039	853
705	2042	850
706	2045	847
707	2047	844
708	2049	841
709	2054	839
710	2056	836
711	2059	832
712	2061	829
713	2063	826
714	2066	823
715	2069	821
716	2072	818
717	2075	815
718	2077	811
719	2079	808
720	2083	806
721	2086	803
722	2089	800
723	2091	797
724	2094	794
725	2096	791
726	2099	788
727	2103	785
728	2105	782
729	2107	779
730	2109	776
731	2111	773
732	2115	770
733	2118	767
734	2120	764
735	2122	761
736	2124	758
737	2127	755
738	2131	752
739	2134	749
740	2136	746
741	2139	743
742	2141	740
743	2144	737
744	2148	735
745	2151	732
746	2154	729
747	2156	726
748	2158	723
749	2162	720
750	2165	718
751	2168	714
752	2170	711
753	2172	708
754	2175	705
755	2179	703
756	2182	700
757	2185	697
758	2187	694
759	2189	691
760	2192	688
761	2196	686
762	2199	683
763	2201	679
764	2203	676
765	2206	673
766	2209	671
767	2213	668
768	2215	665
769	2218	662
770	2220	659
771	2222	656
772	2226	653
773	2229	651
774	2232	648
775	2234	645
776	2237	642
777	2241	639
778	2244	636
779	2247	633
780	2249	630
781	2251	627
782	2254	624
783	2258	622
784	2260	619
785	2262	616
786	2265	613
787	2267	610
788	2270	607
789	2274	604
790	2277	601
791	2280	598
792	2282	595
793	2286	593
794	2290	590
795	2293	587
796	2295	584
797	2298	581
798	2301	578
799	2305	576
800	2308	573
801	2310	570
802	2312	567
803	2315	564
804	2320	562
805	2323	559
806	2325	556
807	2327	553
808	2331	550
809	2335	547
810	2338	545
811	2341	542
812	2343	539
813	2346	536
814	2348	533
815	2351	530
816	2355	527
817	2357	524
818	2359	521
819	2361	518
820	2364	515
821	2368	512
822	2371	509
823	2373	506
824	2375	503
825	2377	500
826	2380	497
827	2383	495
828	2386	492
829	2388	489
830	2391	486
831	2393	483
832	2395	480
833	2399	477
834	2402	474
835	2404	471
836	2406	468
837	2408	465
838	2411	462
839	2415	460
840	2417	457
841	2420	454
842	2422	451
843	2424	448
844	2426	445
845	2430	442
846	2433	439
847	2435	436
848	2438	433
849	2440	430
850	2442	427
851	2446	425
852	2449	422
853	2451	419
854	2453	416
855	2456	413
856	2458	410
857	2462	407
858	2464	404
859	2467	401
860	2469	398
861	2471	395
862	2473	392
863	2478	390
864	2481	387
865	2483	384
866	2486	381
867	2488	378
868	2492	375
869	2495	372
870	2497	369
871	2499	366
872	2502	363
873	2504	361
874	2508	358
875	2511	355
876	2514	352
877	2516	349
878	2518	346
879	2520	343
880	2525	341
881	2527	338
882	2530	335
883	2532	332
884	2535	329
885	2537	326
886	2540	323
887	2543	320
888	2545	317
889	2548	314
890	2550	311
891	2552	309
892	2556	306
893	2559	303
894	2561	300
895	2563	297
896	2565	294
897	2568	291
898	2571	288
899	2574	286
900	2576	283
901	2578	280
902	2580	277
903	2582	274
904	2586	271
905	2590	268
906	2592	265
907	2594	262
908	2597	260
909	2599	257
910	2603	254
911	2606	251
912	2608	248
913	2610	245
914	2613	242
915	2615	239
916	2619	237
917	2621	234
918	2623	231
919	2625	228
920	2628	225
921	2630	222
922	2633	219
923	2636	216
924	2638	213
925	2640	211
926	2642	208
927	2645	205
928	2647	202
929	2650	199
930	2652	196
931	2654	193
932	2656	190
933	2659	187
934	2661	185
935	2664	182
936	2667	179
937	2669	176
938	2671	173
939	2673	170
940	2676	167
941	2678	164
942	2681	162
943	2683	159
944	2686	156
945	2688	153
946	2690	150
947	2692	147
948	2695	144
949	2698	142
950	2700	139
951	2702	136
952	2704	133
953	2706	130
954	2709	127
955	2714	124
956	2716	122
957	2719	119
958	2721	116
959	2723	113
960	2727	110
961	2730	107
962	2733	105
963	2736	102
964	2738	99
965	2741	96
966	2744	93
967	2747	90
968	2749	87
969	2751	85
970	2753	82
971	2755	79
972	2758	76
973	2761	73
974	2763	70
975	2765	68
976	2767	65
977	2769	62
978	2772	59
979	2775	56
980	2777	53
981	2780	50
982	2782	48
983	2784	45
984	2786	42
985	2789	39
986	2792	36
987	2794	33
988	2796	31
989	2798	28
990	2800	25
991	2802	22
992	2805	19
993	2807	16
994	2810	14
995	2812	11
996	2814	8
997	2817	5
998	2819	2
999	2822	0
