iter	RMSE
407	351597.4984
408	351596.4541
409	351595.5495
410	351594.6664
411	351594.3511
412	351593.5047
413	351593.2206
414	351589.2454
415	351588.6152
416	351587.6845
417	351584.5835
418	351583.9164
419	351583.0835
420	351582.0396
421	351581.4147
422	351580.2915
423	351579.6213
424	351578.8606
425	351578.6313
426	351577.6684
427	351575.8966
428	351575.5333
429	351572.3082
430	351571.5402
431	351570.8284
432	351570.1497
433	351569.4477
434	351568.9491
435	351568.3975
436	351567.8171
437	351567.0219
438	351566.6436
439	351566.2871
440	351565.4882
441	351564.9715
442	351564.3349
443	351563.4833
444	351561.8777
445	351561.4292
446	351561.1608
447	351560.6185
448	351559.7405
449	351559.2777
450	351559.007
451	351556.7165
452	351556.5435
453	351556.2241
454	351555.8494
455	351554.2263
456	351553.6497
457	351553.3085
458	351552.8733
459	351552.6575
460	351552.4158
461	351551.7726
462	351551.3398
463	351550.4887
464	351549.8849
465	351549.417
466	351548.8727
467	351548.5787
468	351548.1156
469	351547.46
470	351547.0027
471	351546.5251
472	351544.109
473	351543.7452
474	351543.4249
475	351543.2936
476	351542.8307
477	351542.3549
478	351542.2046
479	351541.9985
480	351541.419
481	351541.1978
482	351540.6681
483	351540.2667
484	351539.9975
485	351539.1442
486	351538.7179
487	351538.5247
488	351538.2727
489	351537.9043
490	351537.1914
491	351536.8458
492	351536.5637
493	351536.2286
494	351535.84
495	351535.5574
496	351535.3082
497	351534.904
498	351532.8492
499	351532.5401
500	351532.1467
501	351531.9263
502	351531.5811
503	351531.2745
504	351530.9904
505	351530.351
506	351530.1417
507	351529.9249
508	351529.4869
509	351529.1947
510	351529.0467
511	351528.8973
512	351528.7918
513	351527.7407
514	351527.468
515	351527.0501
516	351526.6904
517	351526.1968
518	351526.0113
519	351525.6156
520	351525.4688
521	351525.0993
522	351524.0119
523	351523.6598
524	351523.1535
525	351522.8423
526	351522.2039
527	351521.9317
528	351521.5111
529	351521.1001
530	351520.9279
531	351520.6305
532	351520.4939
533	351520.2659
534	351520.0188
535	351519.5175
536	351519.0535
537	351517.9112
538	351517.4505
539	351517.2948
540	351516.9745
541	351516.8481
542	351516.0957
543	351515.8872
544	351515.6494
545	351515.348
546	351515.0328
547	351514.876
548	351514.6413
549	351514.4816
550	351514.2412
551	351514.061
552	351512.9057
553	351512.732
554	351512.5153
555	351512.3043
556	351510.9784
557	351510.7892
558	351510.6944
559	351510.4977
560	351510.3457
561	351510.2704
562	351510.026
563	351509.9251
564	351509.7515
565	351509.6145
566	351509.5407
567	351509.1007
568	351508.3721
569	351508.1445
570	351508.0155
571	351506.4838
572	351506.3847
573	351506.0576
574	351505.9599
575	351505.8133
576	351505.6583
577	351505.2586
578	351503.9361
579	351503.8114
580	351503.7371
581	351503.0673
582	351502.8751
583	351502.735
584	351502.6196
585	351502.4567
586	351502.3161
587	351502.1988
588	351502.1245
589	351501.7529
590	351500.6194
591	351500.4173
592	351500.3532
593	351500.1553
594	351500.1042
595	351499.8704
596	351499.7874
597	351499.7378
598	351499.4646
599	351499.2937
600	351499.1632
601	351498.9756
602	351498.7547
603	351498.6219
604	351497.5743
605	351497.5091
606	351497.353
607	351496.8335
608	351496.637
609	351496.596
610	351496.2534
611	351496.029
612	351495.9592
613	351495.8283
614	351495.6822
615	351495.5651
616	351495.4286
617	351495.256
618	351495.1328
619	351494.9076
620	351494.7995
621	351494.7266
622	351494.5079
623	351494.3599
624	351494.152
625	351493.2656
626	351493.1012
627	351492.8543
628	351492.734
629	351492.5335
630	351492.4605
631	351492.3774
632	351492.1784
633	351492.095
634	351491.9201
635	351491.748
636	351491.654
637	351490.5929
638	351490.412
639	351490.202
640	351490.0573
641	351489.8935
642	351489.7453
643	351489.5783
644	351489.5009
645	351489.3041
646	351489.2147
647	351489.1661
648	351489.1178
649	351488.2524
650	351488.1678
651	351488.1259
652	351487.931
653	351487.8491
654	351487.533
655	351487.4817
656	351487.3314
657	351487.2554
658	351487.1159
659	351487.0136
660	351486.9706
661	351486.8253
662	351486.3883
663	351486.3462
664	351486.308
665	351486.1198
666	351485.991
667	351485.8899
668	351485.817
669	351485.2191
670	351485.0981
671	351485.0468
672	351485.001
673	351484.8564
674	351484.8172
675	351484.5598
676	351484.4701
677	351484.3979
678	351484.2902
679	351484.1094
680	351484.0033
681	351483.8666
682	351483.8052
683	351483.3679
684	351483.2834
685	351482.7391
686	351482.6846
687	351482.4597
688	351482.4141
689	351481.8964
690	351481.6222
691	351481.5775
692	351481.5005
693	351481.4228
694	351481.3955
695	351481.337
696	351481.2783
697	351481.2428
698	351481.1603
699	351480.882
700	351480.8114
701	351480.7401
702	351480.1518
703	351480.0421
704	351479.9885
705	351479.4936
706	351479.4315
707	351479.3411
708	351479.1164
709	351479.0278
710	351478.9912
711	351478.4947
712	351478.3839
713	351478.2709
714	351478.2208
715	351478.1942
716	351478.1507
717	351478.0837
718	351477.7897
719	351477.6748
720	351477.5792
721	351477.4982
722	351477.4256
723	351477.3927
724	351477.2154
725	351477.1479
726	351477.0127
727	351476.991
728	351476.7299
729	351476.3117
730	351476.2719
731	351476.2233
732	351476.1675
733	351476.0802
734	351476.0644
735	351476.036
736	351475.8981
737	351475.8365
738	351475.7333
739	351475.7033
740	351475.6434
741	351475.5521
742	351475.4721
743	351475.4087
744	351475.3151
745	351475.2838
746	351475.1972
747	351475.1861
748	351475.1503
749	351475.1041
750	351475.0738
751	351475.0627
752	351475.0088
753	351474.9503
754	351474.8728
755	351474.8399
756	351474.7828
757	351474.6565
758	351474.2779
759	351474.2133
760	351474.1581
761	351474.123
762	351474.0132
763	351473.9528
764	351473.9042
765	351473.8647
766	351473.7928
767	351473.7038
768	351473.6522
769	351473.6173
770	351473.5683
771	351473.5291
772	351473.492
773	351473.4783
774	351473.405
775	351473.2133
776	351473.1728
777	351473.1311
778	351473.0681
779	351473.0061
780	351472.9888
781	351472.9015
782	351472.8721
783	351472.7082
784	351472.6842
785	351472.6292
786	351472.5787
787	351472.5195
788	351472.4546
789	351472.3934
790	351472.3645
791	351472.3142
792	351472.2912
793	351472.2112
794	351471.9989
795	351471.9766
796	351471.942
797	351471.9238
798	351471.9107
799	351471.8747
800	351471.8048
801	351471.7973
802	351471.7861
803	351471.7636
804	351471.6458
805	351471.6025
806	351471.5899
807	351471.4726
808	351471.4253
809	351471.412
810	351471.3801
811	351471.313
812	351471.2152
813	351470.9998
814	351470.9613
815	351470.9266
816	351470.9169
817	351470.8659
818	351470.8352
819	351470.7987
820	351470.7941
821	351470.7169
822	351470.5806
823	351470.3677
824	351470.0862
825	351470.0678
826	351470.0032
827	351469.9746
828	351469.9454
829	351469.9342
830	351469.9287
831	351469.9208
832	351469.9034
833	351469.8831
834	351469.8385
835	351469.7995
836	351469.5349
837	351469.4592
838	351469.4236
839	351469.4048
840	351469.3303
841	351469.3114
842	351469.2663
843	351469.2298
844	351469.212
845	351469.1916
846	351469.1377
847	351469.1168
848	351469.0321
849	351468.9969
850	351468.9347
851	351468.9131
852	351468.7535
853	351468.7077
854	351468.6141
855	351468.5703
856	351468.5379
857	351468.5273
858	351468.514
859	351468.4908
860	351468.4025
861	351468.3482
862	351468.326
863	351468.3171
864	351468.2915
865	351468.2536
866	351468.2328
867	351468.2113
868	351468.1808
869	351468.1655
870	351468.1517
871	351468.0785
872	351468.0704
873	351468.0192
874	351467.9741
875	351467.9558
876	351467.9269
877	351467.7713
878	351467.7646
879	351467.6757
880	351467.6525
881	351467.6414
882	351467.5914
883	351467.5604
884	351467.534
885	351467.4516
886	351467.4333
887	351467.4092
888	351467.3602
889	351467.3333
890	351467.2766
891	351467.2678
892	351467.1593
893	351467.0864
894	351467.035
895	351466.9909
896	351466.9796
897	351466.9593
898	351466.8689
899	351466.8074
900	351466.7621
901	351466.7487
902	351466.7375
903	351466.6972
904	351466.6758
905	351466.6666
906	351466.6296
907	351466.6225
908	351466.6047
909	351466.5529
910	351466.4935
911	351466.4802
912	351466.445
913	351466.3887
914	351466.3828
915	351466.3644
916	351466.3309
917	351466.3046
918	351466.2975
919	351466.2859
920	351466.2522
921	351466.2461
922	351466.2267
923	351466.209
924	351466.1655
925	351466.1278
926	351466.0763
927	351466.0479
928	351466.0362
929	351466.0114
930	351465.9768
931	351465.9446
932	351465.9218
933	351465.8848
934	351465.8436
935	351465.8363
936	351465.7905
937	351465.7853
938	351465.7768
939	351465.6607
940	351465.6219
941	351465.5933
942	351465.579
943	351465.5664
944	351465.556
945	351465.5448
946	351465.5053
947	351465.4728
948	351465.4646
949	351465.4604
950	351465.407
951	351465.3777
952	351465.3505
953	351465.2091
954	351465.2022
955	351465.1934
956	351465.0939
957	351465.0804
958	351465.0537
959	351465.0419
960	351465.0302
961	351464.9973
962	351464.9959
963	351464.9776
964	351464.9716
965	351464.9521
966	351464.9346
967	351464.9017
968	351464.8736
969	351464.8579
970	351464.8386
971	351464.8326
972	351464.7375
973	351464.728
974	351464.7126
975	351464.7068
976	351464.6159
977	351464.6017
978	351464.5851
979	351464.5711
980	351464.5618
981	351464.5593
982	351464.5531
983	351464.5373
984	351464.5351
985	351464.4296
986	351464.3895
987	351464.3699
988	351464.3427
989	351464.3232
990	351464.3137
991	351464.3028
992	351464.2872
993	351464.2843
994	351464.2442
995	351464.2429
996	351464.215
997	351464.1952
998	351464.1537
999	351464.1326
